BOR003;02;BORDAR              ;1FR5241500040  ;4463
FUR001;03;FURAR               ;1FR5241500040  ;4464
COR002;04;CORTAR              ;1FR5241500040  ;4465
BOR001;05;BORDAR              ;1FR5241500040  ;4466
COR001;01;CORTAR              ;1FR5241500111  ;4467
BOR003;02;BORDAR              ;1FR5241500111  ;4468
FUR001;03;FURAR               ;1FR5241500111  ;4469
COR002;04;CORTAR              ;1FR5241500111  ;4470
BOR001;05;BORDAR              ;1FR5241500111  ;4471
COR001;01;CORTAR              ;1FR5371800004  ;4472
BOR003;02;BORDAR              ;1FR5371800004  ;4473
FUR001;03;FURAR               ;1FR5371800004  ;4474
COR002;04;CORTAR              ;1FR5371800004  ;4475
BOR001;05;BORDAR              ;1FR5371800004  ;4476
COR001;01;CORTAR              ;1FR5371800005  ;4477
BOR003;02;BORDAR              ;1FR5371800005  ;4478
FUR001;03;FURAR               ;1FR5371800005  ;4479
COR002;04;CORTAR              ;1FR5371800005  ;4480
BOR001;05;BORDAR              ;1FR5371800005  ;4481
COR001;01;CORTAR              ;1FR5461500005  ;4482
BOR003;02;BORDAR              ;1FR5461500005  ;4483
FUR001;03;FURAR               ;1FR5461500005  ;4484
COR002;04;CORTAR              ;1FR5461500005  ;4485
BOR001;05;BORDAR              ;1FR5461500005  ;4486
COR001;01;CORTAR              ;1FR5801500005  ;4487
BOR003;02;BORDAR              ;1FR5801500005  ;4488
FUR001;03;FURAR               ;1FR5801500005  ;4489
COR002;04;CORTAR              ;1FR5801500005  ;4490
BOR001;05;BORDAR              ;1FR5801500005  ;4491
COR001;01;CORTAR              ;1FR5801800004  ;4492
BOR003;02;BORDAR              ;1FR5801800004  ;4493
FUR001;03;FURAR               ;1FR5801800004  ;4494
COR002;04;CORTAR              ;1FR5801800004  ;4495
BOR001;05;BORDAR              ;1FR5801800004  ;4496
COR001;01;CORTAR              ;1FR5801800005  ;4497
BOR003;02;BORDAR              ;1FR5801800005  ;4498
FUR001;03;FURAR               ;1FR5801800005  ;4499
COR002;04;CORTAR              ;1FR5801800005  ;4500
BOR001;05;BORDAR              ;1FR5801800005  ;4501
COR001;01;CORTAR              ;1FR5841800004  ;4502
BOR003;02;BORDAR              ;1FR5841800004  ;4503
FUR001;03;FURAR               ;1FR5841800004  ;4504
COR002;04;CORTAR              ;1FR5841800004  ;4505
BOR001;05;BORDAR              ;1FR5841800004  ;4506
COR001;01;CORTAR              ;1FR5841800005  ;4507
BOR003;02;BORDAR              ;1FR5841800005  ;4508
FUR001;03;FURAR               ;1FR5841800005  ;4509
COR002;04;CORTAR              ;1FR5841800005  ;4510
BOR001;05;BORDAR              ;1FR5841800005  ;4511
COR001;01;CORTAR              ;1FR5841801004  ;4512
BOR003;02;BORDAR              ;1FR5841801004  ;4513
FUR001;03;FURAR               ;1FR5841801004  ;4514
COR002;04;CORTAR              ;1FR5841801004  ;4515
BOR001;05;BORDAR              ;1FR5841801004  ;4516
COR001;01;CORTAR              ;1FR5841801005  ;4517
